	#q	#d	#posd/q	lenq	lend	lenposd
ArguAna	1406	8674	1	237.9359886	204.7353009	165.6680942
ClimateFEVER	1535	5416593	3.049511401	26.12703583	114.3302986	312.0989583
CQADupstackAndroidRetrieval	699	22998	2.426323319	12.92131617	139.1567528	115.2264151
CQADupstackEnglishRetrieval	1570	40221	2.398089172	13.59681529	117.9980607	112.7614874
CQADupstackGamingRetrieval	1595	45301	1.418808777	12.49404389	113.4575837	108.8298719
CQADupstackGisRetrieval	885	37637	1.258757062	13.41355932	215.1419082	182.451526
CQADupstackMathematicaRetrieval	804	16705	1.689054726	11.55721393	284.3064951	238.3792342
CQADupstackPhysicsRetrieval	1039	38316	1.860442733	12.28970164	197.7848418	145.4262804
CQADupstackProgrammersRetrieval	876	32176	1.912100457	12.62557078	222.9065453	207.1426866
CQADupstackStatsRetrieval	652	42269	1.400306748	12.45092025	235.8364996	187.4917853
CQADupstackTexRetrieval	2906	68184	1.77357192	11.99965588	277.3992432	211.8094684
CQADupstackUnixRetrieval	1072	47382	1.579291045	12.79757463	210.9962433	167.8452451
CQADupstackWebmastersRetrieval	506	17405	2.756916996	12.66996047	167.6359092	155.4236559
CQADupstackWordpressRetrieval	541	48605	1.375231054	12.18853974	241.1180537	231.0873656
DBPedia	400	4635922	108.7875	7.525	71.79763723	79.33913663
FEVER	6666	5416568	1.190669067	11.9890489	114.3292974	278.790527
FiQA2018	648	57638	2.632716049	14.59104938	165.8751518	215.1570926
HotpotQA	7405	5233329	2	20.5901418	66.65043283	98.80243779
MSMARCO	6980	8841823	1.065472779	8.019770774	75.97318686	73.99461859
NFCorpus	323	3633	38.18575851	5.996904025	347.0511974	346.2426471
NQ	3452	2681468	1.216975666	10.90614137	108.0158313	137.6722209
QuoraRetrieval	5000	522931	1.5252	12.709	15.27861802	13.00183582
SCIDOCS	1000	25657	29.928	14.053	224.789804	224.789804
SciFact	300	5183	1.13	21.84333333	325.7777349	337.7208481
Touche2020	49	382545	45.18367347	8.93877551	231.562062	232.6903287
TRECCOVID	50	171332	1326.72	17.04	236.7763465	267.0802706
